T1 [03:13],,,Predictable (8),Effective (6),Satisfaction (3),Trust (0),Efficient (5),Vector: ,Invoke (16),Row Range, Predictable (3), Effective (5), Satisfaction (0), Trust (0), Efficient (2),Not Predictable (5),Not Effective (1),Not Satisfaction (3),Not Trust (0),Not Efficient (3),Refactorings
I'm going to find these classes and see what the current state is so I can understand this better.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
testIsAnyEmpty. [06:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And these are both testing the same method? Or class? Interesting.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would.. there are different ways to do this. I would create a new class called stringUtilsEmptyBlankTest and would moving those classes over. The non-refactoring way would be to cut and paste them into the right file, but there are also refactoring tools for moving methods over to other classes.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How would you usually do it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I would probably do moving. It is safer, you don't miss a character or documentation, annotations. It takes imports as well.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[9:10] This one wants to go... types are not in project.,,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
No.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What happened now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It didn't like my request to move it. It gave me, I guess an error message, saying it doesn't want to move it unless it is static. So that was unexpected. I am wondering if I can do something else to move it over without fiddling with static and not static.","Invocation
Not Predictable (""So that was unexpected.”)",,1,0,0,0,0,"<1,0,0,0,0>",0,11-11,0,0,0,0,0,1,0,0,0,0,
I: What did you say the error message was?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's try it again.,,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
"""All candidate variables ... "" *reading* [10:44]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's weird, it's a confusing error message. Not in project.. would you like to make the method ..static and then move? Yes, let's do that. Ugh, it's public. Refactor. Ok, it looks like it just ... ok, can I create a new class in this? That was I was curious about checking. I was hoping I could create a class to move it to, but I think I have to create a class and then move it.. which is.. alright..",,"Invoke (Move)
",0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
...unit test. .. empty blank methods.. [13:24],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
option shift v. Move it to .,,Invoke (Move),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Move
"hm, foo string.. it's asking me what I want to move, and I'm still trying to wrap my head around the static non static restriction. I don't want to move that. That's fine. There we go, success.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Trying to think what that's called. [15:47],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There's a hotkey I want to use and I want to remap it because it looks like I will use it a few times.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[16:41] I have successfully moved over one method.,"Invocation
Effective (“success”)
",,0,1,0,0,0,"<0,1,0,0,0>",0,21-21,0,1,0,0,0,0,0,0,0,0,
I can actually just wholesale these over in the interest of time.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So now you are just copy-pasting?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
