T1 [05:13],,,Predictable (1),Effective (0),Satisfaction (0),Trust (1),Efficient (3),Vector: ,Invoke (1),Row Range, Predictable (0), Effective (0), Satisfaction (0), Trust (0), Efficient (0),Not Predictable (1),Not Effective (0),Not Satisfaction (0),Not Trust (1),Not Efficient (3),Refactorings
So it just matches the name of the class or the name of the test or something. Usually I wouldn't like structure my tests based on what people want to run but if that's what they want then sure. [06:54],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[08:17] These should be moved into a class that doesn't exist yet.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[08:49] Usually what I like to do when I do something that is pretty close to what I have is to copy what I already have. Just copy the entire class pasting it in here giving it a name. [09:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So we want these tests. These we don't want.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Save that. And just to be sure.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Run this one and see if it works. It works. Then we go back now we got them duplicated so we remove them from here. [10:57],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And we rerun the trimempty one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And since we have a nice IDE it shows us things we don't need any more. [11:27],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So we already moved the first one. Ah this is called trimEmptyTest. Trim trim... I guess this one we're not supposed to move trimToEmpty. This should really be called trimAndStrip test. [12:07],,Invoke (Rename),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Rename
Then we go in here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now this may be a bit more complicated. It's a pretty big class and we have to find the methods we want to move. For example test is any empty. I'm not sure if ...,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Well usually code is not that well organized. So usually that would take a while. [13:01],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So in this case it seems like we will be able to.. there may be ways in the IDE..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I remember I used the extract before. I don't quite remember how that works any more. [13:14],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know if extract would allow me to move the method. [13:26],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going to do it the old school way.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Usually there may be separate setup that is required in this case not. There is only static class methods so there's not a lot of objects that need to be created to set up the tests. That was stringUtilsTest I think. Then we might be done. Before we're done we should check how many there were before.. [15:05],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looks like we got all of them. We're just going to run all the tests again. [15:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
1335 that's the same we had before. That seems like we successfully moved everything. [15:35],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task. [15:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I read the tasks to see what we wanted to move I looked around to find that functionality. I ran all the tests to begin with to make sure they work and then I just created a - actually I copied a class just in case there's a setup that's usually a good way to get the setup structure especially in Java. Then I cut and pasted the methods in there and that was enough. There was no extrac setup needed just moving them around. Updating class names to reflect what they contained and the documentation. And then ran the tests again in the end. [16:53],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated any of the things you did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not really. Again the right click refactor maybe.. there might be the extract. Oh no there's a move. I don't know if this.. move instance method. [17:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I'm not sure. The IDE might provide some things. I've definitely used extract in the past when we had a lot of classes. That would have worked the first time when I copied them into a new class. Extract, you usually extract into a new class. And then for the other one you could also extract into an existing class I assume. [17:52]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why didn't you try to use it? [18:02],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I figured that trying to figure out the IDE for this would probably take as long as trying to do it manually this time. If however I had started a new job in a Java shop with this specific IDE then I probably would have tried to figure out how it work. [18:28],"Reflection
Not Efficient (“trying to figure out the IDE for this would probably take as long as trying to do it manually this time.”)",,0,0,0,0,1,"<0,0,0,0,1>",0,27-27,0,0,0,0,0,0,0,0,0,1,
I: Would you invest time specifically to learn it or would you have tried it during the task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It depends. Since I haven't used it for so long I'd probably try it a little in advance and play around especially with shortcuts. [19:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I remember when I used IntelliJ i had those commands memorized to compile, run tests for the current class, the whole project, and so on. That I would do in advance. But if there was something specific, the IDE just has so many features, I would learn that as I go.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are there any of your changes you are unsure about or unsure that you got right. [19:32],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
No in this case I'm sure about the changes mostly because the code was very well organized and I checked in the beginning that everything was set together and it was. I checked before I started making a new change it wasn't like I started to move things around and then I had to go find pieces I was missing. I could copy the code from both files in one big block and then I ran the tests again.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: When you were copying and pasting how did you decide which parts to copy? [20:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Usually the bigger the tests are the more setup they have. If you don't have an IDE that doesn't show you the imports then that it hard - you may be able to do it on save. It is often easy to copy way to much and it's hard to take it out in the beginning so I always try to copy as little as possible so I understand it instead of copying one giant thing that I don't understand and removing things from it. [21:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T2 [21:14] reads task [21:55],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
We are removing methods with bad naming and they already have pretty much an inverse of them as well and just extend the surface area. It looks like in this case we can actually just remove-remove them and don't just have to remove the logic and call the inverted method underneath as you often will when you expose a rest API or something and remove an endpoint you might have to like just rewrite it under the hood and make it call another one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In this case we just remove two methods and remove the tests as well. We might have to check if there are any usages of them any callers inside this project. If something rely on them we have to change that. First find the methods then find out if they are used anywhere. [23:23],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So this checks if it is not empty not null ...,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then you can do.. find usages. [24:10],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is anyNotEmpty... oh it's actually used in isAllEmpty. And .. yeah as expected it's the negated version of it. We'll have to move that code into isAllEmpty method. [24:52],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
First I need to check if isAllEmpty has its own tests or rely on the other method's test. It's in the stringutils test or we might have moved them to the StringUtilsBlankandEmptyTest. So the good news is that there are tests of isAllBlank. [25:47],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So those two do have tests that we're gonna trust.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Then we can have a closer look at what the original implementation actually does. [26:18],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So what we need to do is just to return the negated version. We need to always return the inverse of this. How do we do that best.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In this case I would just go with my true and tried cut and paste approach. [27:09],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What does 'do it best' mean to you?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't know. There's always multiple ways to do it. For example we could just rename this method to be the new one there are many ways of doing it that would all amount to the same thing. I feel like the easiest will be - sine we're replacing the method call in the other method - to just move this code that it implements into that instead of renaming the method here. [28:05],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why would that be easier?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
For one it is basically substitution since we already call this method. There is also less moving pieces especially with the nicely formatted documentation here. I feel like I just touch things inside the method body instead of all over the place. [28:47],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So we will remove that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I often comment things out especially if they are small just to see what the original was. So in this case I can see that the method was not just called directly but it was negated in front.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
and it gives me a chance to check the signature.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Looking at the code it seems that we can just reverse the boolean values we return but just to make sure I'm just going to make sure that the meaning make sense so I will read through the code. [30:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
We have to be careful that we don't return too early.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
That seems to make sense.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And then we go back to our test class we just refactored the isAllEmpty,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
We want to remove this method anyway so we can just remove it already. [32:29],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now it's complaining about - it's the problem in a compiled language the compiler is complaining about all kinds of things.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So again we could probably just delete this but just to be sure I'm going to comment it out for now just so I know what I would have deleted but we have git so that would help as well. [33:13],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: it sounded like the error you got now was not what you wanted or expected.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I mean it makes sense that I got the error now since I removed the method and it compiles the whole project. But in Ruby I would be able to just run this one test anyway as long as I don't call the method I deleted it will be fine anyway but we can argue that that is a good thing or a bad thing. [33:45],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So this is isNoneEmpty is all empty ..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So it passed that's good. I have't looked at all the these but it looks like we have pretty good test coverage. [34:11],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm not sure if there is a tool built in that show us the coverage as well. That would be good to know. I think for now this is good. One down that was allEmpty that we just replaced and now that it works we don't need those tests any more so we clean up before we forget that.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
[34:54] Even though if we use git we will not forget because we see the change.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now we go back and repeat the same with the other one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
We are going to remove isAnyNotBlank [35:14] which looks pretty much exactly the same as the previous one just blank instead of empty. I will just do the same as before and move this code to where,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isAnyNotBlank is called. The one down here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Again to be safe we won't delete the code here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Basically same here in reverse. [36:19],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now we probably have the same as before - isanyNot -,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The IDE even highlight it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
then we run the tests. If it pass we run the whole test file. And the tests pass that's good then we only have to clean up the mess of the commented code that we has. so that looks good in here. Then I want to go and remove this one as well. [37:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Depending on the size we can run all tests locally to make sure that everything still passes. If it does - we have two fewer tests now because we removed two.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
They all pass that looks good.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you do in order to solve this task? [38:20],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I first looked at like what is the part that should be removed and what should it be replaced with. Then I looked for any usages and it turned out that only the part we were going to replace it with used it so I just moved the code into where it belonged. So I just removed that public API method that we wanted to remove. And had to adapt it since we were calling the negated version of that and just to be safe I read through the code as well to make sure it made sense. Then I updated the tests and ran them and they all passed. The only way to do that with less code change would be to make them private and still call them. In that case we would not have had to do that many code changes but that would have introduced technical debt which is confusing. The whole purpose is to get rid of additional surface anyway so that would have only half accomplished the task. [39:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated any of the steps you did?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I don't think so.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What impacted your decision to do it manually rather than look for a tool?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There was only one usage of the function. There was not many usages or many different kinds of usages. There was just one place in the same file. There was only one usage each. So it seemed like doing it manually and actually knowing what is going on was better than finding some automated way and not knowing what was going on. [40:39],"Reflection
Not Efficient (""it seemed like doing it manually and actually knowing what is going on was better than finding some automated way and not knowing what was going on.”)",,0,0,0,0,1,"<0,0,0,0,1>",0,82-82,0,0,0,0,0,0,0,0,0,1,
I: What do you mean by not knowing what is going on?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It's not that I don't trust the IDE but those refactoring things that are built in they're a bit magical for moving code around so if you haven't used it a lot you don't know where it will move it. It may move it to the wrong place. Again git is a good tool to show you changes so it should be easy to find where it ended up but if it doesn't do exactly what you want you have to try again and you may end up spending more time than just doing it. [41:24],"Reflection
Not Trust 
 Not Predictable (“f you haven't used it a lot you don't know where it will move it.”)
 Not Efficient (“if it doesn't do exactly what you want you have to try again and you may end up spending more time than just doing it.”)",,1,0,0,1,1,"<1,0,0,1,1>",0,84-84,0,0,0,0,0,1,0,0,1,1,
I: By doing it again do you mean undo?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yeah undo either in the IDE or if you don't trust the IDE because it already did something you did not want once you have to via git or something and then you do it again but do something different. For example if there are some options along the way of where you want to move it making it private etc then choose different options. Trying to figure out which ones were the ones responsible for having a different outcome than you expect. [42:00],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You mentioned different kinds of usages or kinds of callers what did you mean by that?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In this case both methods were called with the bang in front the negation operator. If there would be a bunch without the negation or with arguments overloaded or different arguments passed at different points or if the method signature would be slightly changed or something like that. [42:42],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
T3 [43:33],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
A bit similar to the first one changing the API again but this it is not just duplicated on the surface level we're actually removing functionality. [43:48],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
First we will take a look at the code and the tests and see what the easiest or best way is to remove that functionality. [44:28],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is the fieldUtils file.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Usually I don't use the sidebar too much unless I want an overview of the classes that are close together in files. [45:16],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Here is the extra argument for the forceaccess which is just used in here.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
