Task 1 [02:28],,,Predictable (3),Effective (1),Satisfaction (0),Trust (0),Efficient (1),Vector: ,Invoke (11),Row Range, Predictable (1), Effective (1), Satisfaction (0), Trust (0), Efficient (1),Not Predictable (2),Not Effective (0),Not Satisfaction (0),Not Trust (0),Not Efficient (0),Refactorings
So these tests already exists? I am supposed to create a new class that has any name and move these into the same ones?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Yes.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, should probably be at the same package. [04:25]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll just create a new class. [04:52],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I would just select these ones and copy them over.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Should I copy them or?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: They should only be run once.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you doing now? [06:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is this variable.. I'm not sure if I should copy it or ..maybe I have to copy it over. Alright.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you're running the new test class?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, I don't want to run all the tests, I don't know how many hours it will take. [07:50]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Seems to be all good.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What source code changes did you do in order to solve the task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I located all these methods and extracted them, or - I'm not sure what the term is. I just copied them over and removed them from the old class. [08:33]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any tools you are aware of that could have automated the changes?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not that I am aware of.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Is there any of the changes you are unsure if you got correct?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am not sure - this variable is used in both of the classes and if it is relevant that it has the same value.. it is just the tests so it shouldn't really matter. [08:59] Also class names. If naming should be like this. [09:17],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: You were selecting different parts of the class, were it because you realised it wasn't right or to help you think?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I first copied everything including the variable, but then I realised it was used other places, so I wanted to copy it over separately. [09:58]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Task 2 [10:03],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isAll.. this one exists right? [11:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"So there are these two methods isAnyNotBlank and is AnyNotEmpty, which should be removed and instead isAllBlank and isAllEmpty should be used. isAllBlank is using isAnyNotBlank. What should be done is, this should be moved into the method and kind of negated. [12:05]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And all usages should be replaced with isAllBlank and also negated.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What did you want to move into the method?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"This code, basically negated, basically where it is false there should be true, and where it is true.. [12:34]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There is probably find usages or something..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
There are no usages.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"A simple thing... you can basically just replace this string, like isAnyBlank with !isAllBlank [14:03]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you want all the usages of that one to use the other negated method?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes. [14:18],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
In comments..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Not what you're looking for?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'll delete those parts anyway.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Those will also get deleted.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Are they used somewhere else?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So there is no isNotAnyBlank in .. we remove and put the functionality in isAllBlank. and now there is isAllEmpty. [17:04],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: So you are just repeating the same strategy as before?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Mm. I'm reading what the method is supposed to do and checking that it is actually doing that. [17:43],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
isAnyNotEmpty.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I's like double negated. So basically it is the same thing is any not empty. If this method is the same as - if isAnyNotEmpty has the same functionality as isNoneEmpty. I'm struggling with the double negation. [18:30],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Are you going by name or documentation now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It feels to me like this has the same meaning as this one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"It's probably also the case for this.. so if isAnyNotBlank,...
 [19:02]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You're going back to the previous method?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yeah, just reading.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you doing now?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm moving the code from the old one into the new one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And I am changing this.. same as the other method.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
And I'm just checking if there are other occurrances of the old method in the code. [20:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You decided faster than the previous time?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Yes, it is the same thing, just a different method. It might make sense to just run the tests to see if it is actually compiling and working. [21:34]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
so isallempty fails..,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Ok, if it is all empty it should return true. Then it goes through each character .. then return true.. [22:55]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: were you kind of reimplementing the method? You were kind of trying to fiure out what it should do?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I did not reimplement it from scratch, just debugging.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
You iterate through each character and if there is a character that is not empty you return true if there is .. a character that is not empty in the whole string..but if there is ..no it's not. If it is not not empty. It's not empty. [26:03],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
If all of them were isEmpty then it is true.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So I suppose if it is empty it is false.. [27:27],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So the method should return true if it is null..right..or empty.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: No, if null it should return false, as on the first line. [28:44]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So like this? Should probably fix it?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm just checking the other tests now [31:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
done.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What source code changes did you do in order to solve this task? [36:44],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"Basically I extracted the code from one function and moved it into another function that already existed, and went through the logic and updated it. Negated it. Then I removed the tests referencing the old function. I checked if there were any references. [37:26]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: For the second part it was a bit harder, you spent a bit more time on it.",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I was confused by the double negation and I thought it was the same logic and you have to reverse it. I think the double negation confused me, and there were some errors in the negation process. [38:04]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Among the changes you did are there any you are unsure if you got right?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I think they are right since all the tests are working. [38:22],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Do you know of any tools that could have automated any of the changes you made?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Not that I am aware of.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Task 3 [38:38],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So if you want to use the functionality you add the flag. I'm just wondering if it is actually used anywhere. [40:50],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Doesn't look like it.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: You don't need to worry about client code.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Before you get started, how do you plan to go about solving this?",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I feel like - there is a safe delete thing that will also look up all references to the code.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm going through the class for forceaccess. I'm not sure if the flag is somewhere defined. [43:21],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So basically I have to remove this parameter from all the functions in the class. Hm. I wonder if there is an elegant way to do that. I mean one way would just be to replace this by nothing. [43:49],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Let's see. There is some refactor options - there is safe delete. Ok.. [44:08],,Invoke (Safe Delete),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Safe Delete
"Alright. So It is used in the code, but just considered as false, so this should be good.",,Invoke (Safe Delete),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Safe Delete
I: What is this telling you?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It is a bit confusing. Those are probably methods that calls the function I am currently modifying. It just shows for this function what the change would look like. [45:57],"Invocation
Not Predictable (“confusing”)
 Predictable (“It just shows for this function what the change would look like.”)",Invoke (Safe Delete),1,0,0,0,0,"<1,0,0,0,0>",1,91-91,0,0,0,0,0,1,0,0,0,0,Safe Delete
There is already a method that exist. And it basically just calls the old method. So I can safely delete this one. [46:45],,Invoke (Safe Delete),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Safe Delete
this would be false so we can just remove it.[48:45],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Did you just do that code change to help you think?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes.,,Invoke (Safe Delete),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Safe Delete
I: Now you were just searching for the next one straight of the bat?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am looking at the forceaccess flag where it is used. I am finding multiple functions with the same name that also has the same parameters.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Now you deleted one and undid it.,,Undo,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I didn't realise it was three functions. Before it was just two so it was relatively easy to just delete one, but now there is three so I have to ..","Invocation
Not Predictable (“did not realise..”)",,1,0,0,0,0,"<1,0,0,0,0>",0,99-99,0,0,0,0,0,1,0,0,0,0,
I: Can I ask you what process you just went through.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I was checking that all the methods call the same. [52:16],,Invoke (Safe Delete),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Safe Delete
Can also just remove this,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: How did you decide that was the right one? [52:40],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
This method has the same names and parameters as this other one.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Same for this one. [53:10],,Invoke (Safe Delete),0,0,0,0,0,,1,,0,0,0,0,0,0,0,0,0,0,Safe Delete
Ok. Just checking if all the forceaccess tags are gone. Cool.,,"Invoke (Safe Delete)
Invoke (Safe Delete)
Invoke (Safe Delete)",0,0,0,0,0,,3,,0,0,0,0,0,0,0,0,0,0,Safe Delete
So now I am checking the tests. [55:48],,Run tests,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Why do you think they are failing [57:04],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am not sure. It might be .. the tag is gone now and the change tag changed the logic in some way.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: When you were changing the code did you expect that you would need to change the tests as well?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I mean, it said it. I think it would be better to change one function and see if the tests were running instead of making all the changes at once. Especially now that I don't know how it was before. But there is a git repo.. I can see a diff? How it was before?",,git diff,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
"I: Yeah, you can do that. [58:22]",,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I am looking specifically for the getField function to see what it looked like before. [58:59],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: What are you noticing?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
