Task 1 [05:15],,,Predictable (0),Effective (2),Satisfaction (1),Trust (0),Efficient (1),Vector: ,Invoke (0),Row Range, Predictable (0), Effective (0), Satisfaction (0), Trust (0), Efficient (1),Not Predictable (0),Not Effective (2),Not Satisfaction (1),Not Trust (0),Not Efficient (0),Refactorings
I am just going through the tests to see. What I am seeing is that I only want to test empty and blank. So this one tests trim but it tests all the other method that does other things. So we want another test class that only tests empty and blank. Just looking at what other tests there is. [05:59],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I will create a new test that tests empty and blank - just thinking of a good name for that. I will name it starting with stringutils because that is how everything else is named and end with test. [06:46],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I use cmd+o to look for methods in eclipse what is that here? [07:58],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
So they are all together but not in the same class.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Ok run tests.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
It gave me some errors. It looks like these symbols can not be resolved. I will just go back to my tests and see if I missed copying those. Yes it was the string that is being used.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I'm trying to find the compile error but I think I resolved it. [12:47],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Great. I will run my new test that I created. Cool.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I will just move all the empty not empty and blank ones together. [13:37],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Now I am just checking if these tests duplicate each other.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: For the sake of time I'll stop you: do you feel like you finished the task aside from cleaning up the code? [14:17],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
Yes I think I am.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: Can you explain what you did in order to solve this task?,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
The task said I had to move all the tests that tested empty and blank. And I had to move those to a new class that tested empty and blank. But now I am wondering if I read it wrong because I also moved the ones testing not empty and not blank and I might not need those now. [15:19],,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I: No this is right.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
I just refactored it moved it to a new class.,,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
